Edad,Ano ,Origen,dx
4,2019,Espana,35
5,2019,Espana,20
6,2019,Espana,20
7,2019,Espana,23
8,2019,Espana,17
9,2019,Espana,23
10,2019,Espana,31
11,2019,Espana,34
12,2019,Espana,21
13,2019,Espana,48
14,2019,Espana,46
15,2019,Espana,42
16,2019,Espana,54
17,2019,Espana,56
18,2019,Espana,66
19,2019,Espana,71
20,2019,Espana,79
21,2019,Espana,74
22,2019,Espana,72
23,2019,Espana,79
24,2019,Espana,86
25,2019,Espana,91
26,2019,Espana,102
27,2019,Espana,116
28,2019,Espana,107
29,2019,Espana,124
30,2019,Espana,124
31,2019,Espana,148
32,2019,Espana,151
33,2019,Espana,147
34,2019,Espana,197
35,2019,Espana,195
36,2019,Espana,223
37,2019,Espana,268
38,2019,Espana,339
39,2019,Espana,351
40,2019,Espana,387
41,2019,Espana,437
42,2019,Espana,543
43,2019,Espana,573
44,2019,Espana,612
45,2019,Espana,732
46,2019,Espana,811
47,2019,Espana,980
48,2019,Espana,1078
49,2019,Espana,1211
50,2019,Espana,1311
51,2019,Espana,1538
52,2019,Espana,1695
53,2019,Espana,1862
54,2019,Espana,2112
55,2019,Espana,2270
56,2019,Espana,2452
57,2019,Espana,2539
58,2019,Espana,2637
59,2019,Espana,2993
60,2019,Espana,3197
61,2019,Espana,3446
62,2019,Espana,3505
63,2019,Espana,3572
64,2019,Espana,3761
65,2019,Espana,3909
66,2019,Espana,4257
67,2019,Espana,4449
68,2019,Espana,4426
69,2019,Espana,4847
70,2019,Espana,5418
71,2019,Espana,6067
72,2019,Espana,5900
73,2019,Espana,6620
74,2019,Espana,7146
75,2019,Espana,7597
76,2019,Espana,7619
77,2019,Espana,7056
78,2019,Espana,8537
79,2019,Espana,8793
80,2019,Espana,8337
81,2019,Espana,10464
82,2019,Espana,12806
83,2019,Espana,14351
84,2019,Espana,15250
85,2019,Espana,16639
86,2019,Espana,17777
87,2019,Espana,17881
88,2019,Espana,18043
89,2019,Espana,17504
90,2019,Espana,104056
0,2020,Espana,732
1,2020,Espana,57
2,2020,Espana,31
3,2020,Espana,34
4,2020,Espana,17
5,2020,Espana,18
6,2020,Espana,20
7,2020,Espana,19
8,2020,Espana,28
9,2020,Espana,17
10,2020,Espana,19
11,2020,Espana,33
12,2020,Espana,29
13,2020,Espana,31
14,2020,Espana,43
15,2020,Espana,44
16,2020,Espana,44
17,2020,Espana,54
18,2020,Espana,70
19,2020,Espana,78
20,2020,Espana,79
21,2020,Espana,77
22,2020,Espana,82
23,2020,Espana,89
24,2020,Espana,76
25,2020,Espana,82
26,2020,Espana,102
27,2020,Espana,120
28,2020,Espana,116
29,2020,Espana,127
30,2020,Espana,144
31,2020,Espana,169
32,2020,Espana,190
33,2020,Espana,174
34,2020,Espana,177
35,2020,Espana,201
36,2020,Espana,248
37,2020,Espana,279
38,2020,Espana,308
39,2020,Espana,373
40,2020,Espana,442
41,2020,Espana,472
42,2020,Espana,539
43,2020,Espana,657
44,2020,Espana,686
45,2020,Espana,783
46,2020,Espana,850
47,2020,Espana,967
48,2020,Espana,1120
49,2020,Espana,1241
50,2020,Espana,1351
51,2020,Espana,1502
52,2020,Espana,1828
53,2020,Espana,2047
54,2020,Espana,2151
55,2020,Espana,2437
56,2020,Espana,2624
57,2020,Espana,2762
58,2020,Espana,2998
59,2020,Espana,3195
60,2020,Espana,3492
61,2020,Espana,3744
62,2020,Espana,3991
63,2020,Espana,4208
64,2020,Espana,4345
65,2020,Espana,4507
66,2020,Espana,4667
67,2020,Espana,5201
68,2020,Espana,5271
69,2020,Espana,5564
70,2020,Espana,6056
71,2020,Espana,6750
72,2020,Espana,7568
73,2020,Espana,7123
74,2020,Espana,8569
75,2020,Espana,9130
76,2020,Espana,9760
77,2020,Espana,10156
78,2020,Espana,9144
79,2020,Espana,11302
80,2020,Espana,11732
81,2020,Espana,10951
82,2020,Espana,13802
83,2020,Espana,16230
84,2020,Espana,18504
85,2020,Espana,19310
86,2020,Espana,20692
87,2020,Espana,21765
88,2020,Espana,21716
89,2020,Espana,21388
90,2020,Espana,126711
0,2021,Espana,795
1,2021,Espana,56
2,2021,Espana,35
3,2021,Espana,33
4,2021,Espana,28
5,2021,Espana,31
6,2021,Espana,25
7,2021,Espana,36
8,2021,Espana,33
9,2021,Espana,25
10,2021,Espana,32
11,2021,Espana,37
12,2021,Espana,37
13,2021,Espana,41
14,2021,Espana,44
15,2021,Espana,55
16,2021,Espana,57
17,2021,Espana,73
18,2021,Espana,81
19,2021,Espana,83
20,2021,Espana,89
21,2021,Espana,103
22,2021,Espana,92
23,2021,Espana,96
24,2021,Espana,117
25,2021,Espana,93
26,2021,Espana,98
27,2021,Espana,114
28,2021,Espana,122
29,2021,Espana,136
30,2021,Espana,173
31,2021,Espana,151
32,2021,Espana,192
33,2021,Espana,199
34,2021,Espana,234
35,2021,Espana,236
36,2021,Espana,283
37,2021,Espana,317
38,2021,Espana,347
39,2021,Espana,394
40,2021,Espana,470
41,2021,Espana,496
42,2021,Espana,543
43,2021,Espana,652
44,2021,Espana,732
45,2021,Espana,831
46,2021,Espana,954
47,2021,Espana,999
48,2021,Espana,1094
49,2021,Espana,1266
50,2021,Espana,1384
51,2021,Espana,1592
52,2021,Espana,1747
53,2021,Espana,2050
54,2021,Espana,2167
55,2021,Espana,2391
56,2021,Espana,2661
57,2021,Espana,2903
58,2021,Espana,3032
59,2021,Espana,3333
60,2021,Espana,3551
61,2021,Espana,3961
62,2021,Espana,4114
63,2021,Espana,4542
64,2021,Espana,4462
65,2021,Espana,4753
66,2021,Espana,4903
67,2021,Espana,5205
68,2021,Espana,5474
69,2021,Espana,5614
70,2021,Espana,5839
71,2021,Espana,6215
72,2021,Espana,7216
73,2021,Espana,7842
74,2021,Espana,7529
75,2021,Espana,8579
76,2021,Espana,9112
77,2021,Espana,9912
78,2021,Espana,10253
79,2021,Espana,9157
80,2021,Espana,11345
81,2021,Espana,11642
82,2021,Espana,10669
83,2021,Espana,13135
84,2021,Espana,15720
85,2021,Espana,17037
86,2021,Espana,18063
87,2021,Espana,19146
88,2021,Espana,19771
89,2021,Espana,19171
90,2021,Espana,115490
0,2022,Espana,717
1,2022,Espana,60
2,2022,Espana,44
3,2022,Espana,31
4,2022,Espana,30
